FoodID,MeasureID,MeasureDescription,MeasureDescriptionF,YieldValue,YieldDateOfEntry,YieldDateEnd
1863,681,100g as purchased,100g tel qu'acheté,89,1-May-97 8:00:00 AM,13-Jun-14 10:18:52 AM
1872,681,100g as purchased,100g tel qu'acheté,62,1-May-97 8:00:00 AM,11-Apr-14 9:23:13 AM
1889,681,100g as purchased,100g tel qu'acheté,87,1-May-97 8:00:00 AM,13-Jun-14 10:21:39 AM
1892,683,100g raw as purchased,"100g  acheté, cru",54,1-May-97 8:00:00 AM,25-May-11 8:39:50 AM
1924,683,100g raw as purchased,"100g  acheté, cru",58,1-May-97 8:00:00 AM,25-May-11 11:16:48 AM
1926,683,100g raw as purchased,"100g  acheté, cru",52,1-May-97 8:00:00 AM,25-May-11 11:16:56 AM
1976,681,100g as purchased,100g tel qu'acheté,81,1-May-97 8:00:00 AM,24-Sep-12 10:21:57 AM
2684,683,100g raw as purchased,"100g  acheté, cru",76,1-May-97 8:00:00 AM,12-Sep-14 10:39:00 AM
2686,683,100g raw as purchased,"100g  acheté, cru",74,1-May-97 8:00:00 AM,19-Nov-14 9:18:00 AM
2688,683,100g raw as purchased,"100g  acheté, cru",75,1-May-97 8:00:00 AM,18-Nov-14 2:38:01 PM
